Country,AreaName,Region,DevName,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,Total
Belgium,Europe,Western Europe,Developed regions,230,270,400,280,260,270,290,310,370,290,270,250,300,350,400,350,360,350,330,390,440,480,450,480,410,410,480,530,560,21120
El Salvador,Latin America and the Caribbean,Central America,Developing regions,0,0,10,110,270,790,390,660,960,1990,1350,1540,560,240,230,270,220,150,130,50,70,50,60,70,50,50,40,40,100,20900
Tonga,Oceania,Polynesia,Developing regions,130,290,300,200,250,250,310,300,460,360,330,340,470,400,370,420,480,350,270,300,320,310,270,260,330,330,350,390,640,19560
The former Yugoslav Republic of Macedonia,Europe,Southern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,610,860,880,800,700,600,430,620,580,620,500,510,610,650,660,19260
Peru,Latin America and the Caribbean,South America,Developing regions,190,160,130,140,140,140,240,340,310,270,340,380,330,250,240,220,200,150,130,190,200,220,220,310,300,460,580,860,1050,17380
Samoa,Oceania,Polynesia,Developing regions,150,120,160,110,160,190,200,210,390,250,280,360,340,330,380,390,400,350,360,280,270,320,280,280,420,320,410,330,460,17000
Finland,Europe,Northern Europe,Developed regions,290,250,190,200,160,220,250,190,260,340,330,340,270,260,290,300,310,300,280,300,300,330,300,350,310,350,350,390,410,16840
Hungary,Europe,Eastern Europe,Developed regions,100,100,90,90,100,130,160,230,270,220,260,310,400,270,300,360,400,320,250,300,330,450,430,430,350,390,380,480,520,16840
Myanmar,Asia,South-Eastern Asia,Developing regions,110,70,120,100,150,130,170,220,260,200,120,140,150,320,580,580,360,290,190,260,220,280,260,260,310,320,450,610,620,15700
Sudan,Africa,Northern Africa,Developing regions,20,40,60,40,50,80,110,50,80,120,90,90,110,320,450,670,400,430,470,450,440,360,220,340,600,300,480,500,360,15460
Solomon Islands,Oceania,Melanesia,Developing regions,210,220,250,220,230,230,310,320,290,310,330,330,340,310,360,340,310,270,270,230,230,130,160,150,310,250,250,290,250,15400
Mexico,Latin America and the Caribbean,Central America,Developing regions,70,120,110,110,420,210,170,460,380,340,270,240,120,150,110,170,150,160,160,160,180,240,370,410,400,380,470,490,610,15260
New Caledonia,Oceania,Melanesia,Developing regions,160,150,210,140,130,170,190,180,180,200,180,180,180,170,190,220,250,230,240,320,260,300,300,260,630,490,450,470,490,15040
Ukraine,Europe,Eastern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,550,480,810,570,570,530,330,310,240,290,310,290,360,420,360,410,420,14500
United Republic of Tanzania,Africa,Eastern Africa,Developing regions,70,120,100,90,110,120,100,70,70,100,60,110,120,100,110,110,90,110,90,70,110,120,170,200,200,930,890,1280,760,13160
Vanuatu,Oceania,Melanesia,Developing regions,150,140,170,140,170,170,180,230,210,210,240,220,280,210,230,190,190,190,190,130,140,170,160,150,400,350,390,400,400,12800
"China, Macao Special Administrative Region",Asia,Eastern Asia,Developing regions,40,80,60,50,80,120,90,110,140,120,150,210,220,210,220,310,330,320,330,310,330,310,320,320,170,190,190,240,330,11800
Kuwait,Asia,Western Asia,Developing regions,60,50,90,80,140,160,130,230,240,190,200,120,300,190,190,220,200,230,200,220,200,270,230,290,220,220,260,270,400,11600
Zambia,Africa,Eastern Africa,Developing regions,150,110,120,180,130,170,110,170,150,180,210,210,150,130,150,100,130,90,80,60,100,190,260,430,370,240,410,410,400,11180
Botswana,Africa,Southern Africa,Developing regions,20,40,40,80,40,50,60,80,60,80,80,80,100,130,170,240,200,210,340,230,420,420,450,590,390,260,200,230,260,11100
Bahrain,Asia,Western Asia,Developing regions,70,100,80,160,160,140,150,130,230,140,150,70,120,150,160,210,180,160,130,160,160,210,250,250,380,460,490,240,220,11020
Ghana,Africa,Western Africa,Developing regions,60,100,110,40,40,50,60,40,50,60,90,100,140,110,150,160,160,160,190,170,110,130,130,170,370,650,690,670,510,10940
Guinea,Africa,Western Africa,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,260,180,310,430,1250,950,880,1010,10680
Oman,Asia,Western Asia,Developing regions,20,20,30,60,40,30,60,80,70,100,70,80,90,120,190,150,150,140,140,140,200,290,460,750,440,320,300,350,430,10640
Uganda,Africa,Eastern Africa,Developing regions,40,30,30,20,20,30,10,20,20,30,20,40,40,40,70,60,50,60,40,50,60,140,270,420,770,670,930,820,460,10520
Uruguay,Latin America and the Caribbean,South America,Developing regions,310,280,220,170,390,280,300,260,230,220,180,270,220,150,130,160,160,130,70,110,110,100,140,140,80,110,90,90,100,10400
Ethiopia,Africa,Eastern Africa,Developing regions,20,10,10,10,20,30,20,30,40,40,50,0,0,0,220,240,190,230,290,270,260,230,300,300,270,280,430,520,690,10000
Afghanistan,Asia,Southern Asia,Developing regions,10,20,30,30,70,100,110,90,100,60,150,460,410,400,200,220,200,150,250,270,100,20,40,70,80,110,180,140,560,9260
Nigeria,Africa,Western Africa,Developing regions,150,140,140,90,110,90,130,130,110,90,140,160,160,120,130,110,90,70,120,130,120,220,160,170,180,220,290,290,360,8840
Czech Republic,Europe,Eastern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,120,250,240,210,220,200,270,280,440,360,330,400,380,370,8200
Lao People's Democratic Republic,Asia,South-Eastern Asia,Developing regions,10,20,20,20,30,20,10,40,40,50,70,90,150,140,190,240,220,220,210,190,250,250,250,230,170,170,220,220,320,8120
Australia,Oceania,Australia and New Zealand,Developed regions,280,180,170,150,120,150,100,50,10,10,0,0,0,0,0,0,0,0,0,0,10,10,10,10,590,700,140,220,780,7380
Cook Islands,Oceania,Polynesia,Developing regions,40,60,40,30,60,70,110,110,80,90,80,90,70,70,100,150,280,250,180,120,110,110,70,80,180,150,160,160,170,6540
Qatar,Asia,Western Asia,Developing regions,0,30,20,50,20,40,40,30,50,40,30,30,30,40,40,90,40,60,70,50,60,110,210,400,260,250,310,340,330,6140
Slovakia,Europe,Eastern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,80,90,140,90,110,150,220,310,410,360,260,270,260,220,6000
Venezuela (Bolivarian Republic of),Latin America and the Caribbean,South America,Developing regions,90,70,70,80,60,80,90,80,70,50,80,70,50,60,90,80,120,130,100,100,110,120,130,130,130,180,160,160,250,5980
Nauru,Oceania,Micronesia,Developing regions,110,120,110,100,110,90,60,90,50,70,70,100,140,80,110,100,100,80,50,50,60,60,170,60,220,110,150,70,280,5940
Seychelles,Africa,Eastern Africa,Developing regions,50,60,80,80,100,60,130,170,190,120,70,80,60,70,90,100,90,100,100,80,80,110,140,150,110,150,100,110,100,5860
Bulgaria,Europe,Eastern Europe,Developed regions,20,20,30,20,20,20,40,20,20,40,40,140,320,140,120,130,120,120,130,120,150,160,140,110,160,110,130,130,130,5700
Timor-Leste,Asia,South-Eastern Asia,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,170,200,180,280,170,970,450,370,5680
Slovenia,Europe,Southern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,20,120,150,150,90,90,120,130,180,240,220,140,80,130,140,120,130,4500
Somalia,Africa,Eastern Africa,Developing regions,0,0,10,20,10,10,20,10,30,20,20,60,100,170,260,250,210,220,360,150,40,30,30,30,30,30,20,30,60,4460
Maldives,Asia,Southern Asia,Developing regions,0,20,10,0,0,0,10,10,10,20,20,50,70,60,80,100,100,180,130,140,110,120,130,180,140,90,80,100,140,4200
Ecuador,Latin America and the Caribbean,South America,Developing regions,50,60,50,50,40,50,50,70,70,60,70,70,60,40,80,80,80,60,60,60,70,70,80,90,90,70,70,100,120,3940
French Polynesia,Oceania,Polynesia,Developing regions,40,30,50,60,60,40,50,50,70,50,80,60,60,60,50,60,50,60,80,60,70,80,60,60,80,100,140,120,130,3920
Albania,Europe,Southern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,10,80,40,30,30,100,90,80,80,70,110,110,200,250,140,130,110,110,140,3820
Malawi,Africa,Eastern Africa,Developing regions,20,30,40,40,30,50,30,40,30,40,50,40,30,50,50,40,60,30,40,20,20,50,100,110,150,90,150,290,110,3660
Kiribati,Oceania,Micronesia,Developing regions,0,0,0,0,0,0,0,0,0,0,0,60,80,70,90,150,110,100,80,60,60,70,90,50,90,100,70,90,70,2980
Costa Rica,Latin America and the Caribbean,Central America,Developing regions,20,20,20,30,380,140,90,100,40,30,20,30,20,20,20,30,30,20,10,10,10,30,30,30,20,40,50,30,50,2740
Libya,Africa,Northern Africa,Developing regions,70,80,70,60,50,40,20,30,30,20,20,20,10,20,20,20,30,20,20,20,10,50,20,50,40,30,60,100,220,2500
Mongolia,Asia,Eastern Asia,Developing regions,0,0,0,0,10,0,0,0,0,0,0,0,0,0,20,50,40,40,50,40,40,60,50,80,130,130,100,150,240,2460
Latvia,Europe,Northern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,10,50,40,60,30,60,60,50,50,70,70,80,100,50,90,60,60,80,2140
Kazakhstan,Asia,Central Asia,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,10,40,30,70,70,70,50,50,70,80,80,50,80,80,100,120,2100
Morocco,Africa,Northern Africa,Developing regions,20,20,20,30,40,30,10,20,40,30,30,30,30,20,30,40,30,20,40,30,30,40,40,60,50,50,70,80,60,2080
Bolivia (Plurinational State of),Latin America and the Caribbean,South America,Developing regions,20,30,20,30,30,30,30,30,50,30,30,20,40,30,20,40,50,50,40,50,30,30,40,40,40,40,50,50,50,2080
Iceland,Europe,Northern Europe,Developed regions,50,40,50,50,30,30,40,40,10,20,40,40,40,40,20,30,30,20,10,30,20,20,30,30,30,50,30,40,50,1920
Mozambique,Africa,Eastern Africa,Developing regions,10,0,0,0,0,0,0,10,10,0,30,20,30,20,10,40,30,50,30,30,50,80,60,90,70,60,50,70,100,1900
Namibia,Africa,Southern Africa,Developing regions,0,0,0,0,0,0,0,0,0,0,0,20,30,30,40,40,50,50,30,50,40,60,60,90,50,70,50,80,70,1820
Jamaica,Latin America and the Caribbean,Caribbean,Developing regions,40,20,20,40,60,40,30,30,20,30,30,20,30,20,40,10,30,30,20,10,30,50,30,60,40,20,30,30,50,1820
Trinidad and Tobago,Latin America and the Caribbean,Caribbean,Developing regions,20,30,30,10,10,20,30,50,40,60,20,30,20,20,30,30,30,20,20,20,20,20,20,50,30,40,60,30,60,1740
Bhutan,Asia,Southern Asia,Developing regions,0,0,10,10,0,10,0,0,0,10,10,10,10,10,10,20,20,20,20,30,40,30,50,40,80,70,90,100,150,1700
Bermuda,Northern America,Northern America,Developed regions,20,20,30,30,20,20,20,30,30,30,40,20,10,30,20,40,30,20,20,20,20,40,40,40,40,20,50,30,50,1660
Uzbekistan,Asia,Central Asia,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,20,30,40,50,30,30,40,30,30,50,70,80,70,60,80,110,1640
Guam,Oceania,Micronesia,Developing regions,10,20,0,0,10,10,10,10,0,10,20,20,40,60,30,60,30,20,30,10,20,40,50,30,40,50,40,70,50,1580
Estonia,Europe,Northern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,10,20,20,10,20,20,40,30,40,30,50,80,120,270,1580
Tuvalu,Oceania,Polynesia,Developing regions,10,30,30,40,20,30,40,40,40,40,50,20,20,20,10,10,30,0,30,40,30,10,20,20,30,20,20,20,10,1460
Algeria,Africa,Northern Africa,Developing regions,10,50,30,10,20,20,10,10,20,20,20,30,20,20,20,20,20,20,10,30,20,30,60,20,20,50,30,30,60,1460
Niger,Africa,Western Africa,Developing regions,10,20,40,30,10,40,20,30,40,30,50,20,20,20,30,40,30,30,30,20,30,20,10,10,10,0,20,10,50,1440
Belarus,Europe,Eastern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,10,10,40,40,30,40,30,30,20,30,40,50,40,70,50,60,60,1300
Luxembourg,Europe,Western Europe,Developed regions,10,20,40,10,0,20,20,20,20,10,20,10,10,20,30,30,30,10,20,10,20,30,30,30,40,20,40,40,30,1280
Lithuania,Europe,Northern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,10,0,20,40,20,20,30,10,20,20,30,50,60,70,40,40,40,40,80,1280
Guatemala,Latin America and the Caribbean,Central America,Developing regions,20,0,20,10,0,10,20,20,20,20,70,70,30,20,30,30,20,20,20,10,20,20,30,20,10,20,20,10,30,1280
Swaziland,Africa,Southern Africa,Developing regions,30,20,20,30,10,20,20,20,20,10,40,30,10,40,20,10,20,10,10,30,20,20,10,20,20,20,30,20,20,1200
Yemen,Asia,Western Asia,Developing regions,10,0,0,10,20,10,0,0,0,0,20,10,0,10,10,0,0,10,20,20,20,60,40,150,40,20,10,40,40,1140
Réunion,Africa,Eastern Africa,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,20,30,20,40,80,100,120,110,1120
Armenia,Asia,Western Asia,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,10,20,30,60,50,30,30,30,20,20,40,30,30,40,20,40,60,1120
Sierra Leone,Africa,Western Africa,Developing regions,0,0,10,0,0,10,20,20,10,10,10,0,10,10,10,20,0,0,0,0,0,10,10,10,20,50,110,100,90,1080
Mauritania,Africa,Western Africa,Developing regions,0,0,0,0,0,10,0,0,10,0,0,0,0,0,0,0,0,10,0,10,10,120,30,10,0,40,30,100,150,1060
Eritrea,Africa,Eastern Africa,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,50,60,50,40,20,20,20,20,20,20,30,20,70,30,1060
Madagascar,Africa,Eastern Africa,Developing regions,0,0,10,0,110,0,10,30,220,0,0,0,0,0,0,10,0,0,10,10,20,10,0,10,10,10,10,10,20,1020
Bahamas,Latin America and the Caribbean,Caribbean,Developing regions,10,20,0,20,20,20,20,40,40,0,10,0,10,0,20,0,10,10,10,10,10,20,20,20,20,20,30,20,20,900
Republic of Moldova,Europe,Eastern Europe,Developed regions,0,0,0,0,0,0,0,0,0,0,0,0,30,10,30,30,20,20,10,20,30,20,30,40,10,40,30,20,40,860
Cuba,Latin America and the Caribbean,Caribbean,Developing regions,50,0,10,10,10,0,10,0,10,0,0,10,0,0,0,10,10,10,20,10,30,10,30,10,40,30,30,30,40,840
Kyrgyzstan,Asia,Central Asia,Developing regions,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,10,10,10,20,20,10,30,50,30,30,20,50,70,740
Nicaragua,Latin America and the Caribbean,Central America,Developing regions,0,0,0,10,0,0,30,20,10,40,20,20,10,0,20,10,40,10,0,10,10,10,0,10,10,10,20,20,20,720
Paraguay,Latin America and the Caribbean,South America,Developing regions,0,0,10,0,20,10,20,0,20,10,20,0,10,10,0,20,20,20,20,20,20,10,20,10,10,20,10,10,20,720
