Airport,Terminal,Date,Hour,U.S. Citizen,,Non U.S. Citizen,,All,,,,,,,,,,,,
,,,,,,,,Wait Times,,Number Of Passengers Time Interval,,,,,,,,,,
,,,,Average Wait,Max Wait,Average Wait,Max Wait,Average Wait,Max Wait,0-15,16-30,31-45,46-60,61-90,91-120,120 plus,Excluded,Total,Flights,Booths
,,,,Time,Time,Time,Time,Time,Time,,,,,,,,,,,
ORD,Terminal 5,4/18/2017,1900 - 2000,7,30,10,31,8,31,864,165,3,0,0,0,0,35,1067,6,19
ORD,Terminal 5,4/18/2017,2000 - 2100,9,24,9,25,9,25,566,61,0,0,0,0,0,18,645,3,19
ORD,Terminal 5,4/18/2017,2300 - 0000,22,34,23,33,22,34,17,120,18,0,0,0,0,5,160,1,7
ORD,Terminal 5,4/19/2017,0000 - 0100,5,18,8,19,6,19,214,15,0,0,0,0,0,5,234,2,8
ORD,Terminal 5,4/19/2017,0100 - 0200,6,19,8,19,6,19,154,16,0,0,0,0,0,6,176,1,7
ORD,Terminal 5,4/19/2017,0500 - 0600,7,22,10,27,8,27,119,27,0,0,0,0,0,5,151,1,6
ORD,Terminal 5,4/19/2017,0600 - 0700,14,62,16,68,16,68,279,113,51,11,12,0,0,22,488,2,14
ORD,Terminal 5,4/19/2017,0800 - 0900,8,17,6,18,7,18,200,12,0,0,0,0,0,10,222,1,14
ORD,Terminal 5,4/19/2017,0900 - 1000,8,39,8,40,8,40,396,59,8,0,0,0,0,15,478,2,14
ORD,Terminal 5,4/19/2017,1000 - 1100,4,19,8,23,6,23,233,27,0,0,0,0,0,13,273,4,8
ORD,Terminal 5,4/19/2017,1100 - 1200,4,13,4,21,4,21,44,1,0,0,0,0,0,3,48,1,8
ORD,Terminal 5,4/19/2017,1200 - 1300,7,20,13,28,10,28,676,215,0,0,0,0,0,35,926,5,27
ORD,Terminal 5,4/19/2017,1300 - 1400,13,56,22,73,17,73,951,449,231,79,25,0,0,87,1822,10,34
ORD,Terminal 5,4/19/2017,1400 - 1500,14,67,18,69,16,69,655,317,182,6,5,0,0,109,1274,7,21
ORD,Terminal 5,4/19/2017,1500 - 1600,9,50,17,57,13,57,761,225,96,35,0,0,0,47,1164,7,26
ORD,Terminal 5,4/19/2017,1600 - 1700,11,32,15,38,12,38,690,424,13,0,0,0,0,52,1179,6,30
ORD,Terminal 5,4/19/2017,1700 - 1800,11,35,13,34,11,35,628,218,12,0,0,0,0,27,885,6,18
ORD,Terminal 5,4/19/2017,1800 - 1900,16,45,15,53,15,53,780,497,148,11,0,0,0,77,1513,9,24
ORD,Terminal 5,4/19/2017,1900 - 2000,9,34,15,34,11,34,944,270,21,0,0,0,0,45,1280,8,17
ORD,Terminal 5,4/19/2017,2100 - 2200,10,38,19,40,14,40,276,132,47,0,0,0,0,18,473,2,9
ORD,Terminal 5,4/19/2017,2200 - 2300,12,30,13,29,12,30,82,54,0,0,0,0,0,8,144,1,6
ORD,Terminal 5,4/20/2017,0000 - 0100,23,67,23,66,23,67,132,90,39,40,11,0,0,10,322,2,7
ORD,Terminal 5,4/20/2017,0100 - 0200,20,43,30,43,24,43,24,21,35,0,0,0,0,3,83,1,5
ORD,Terminal 5,4/20/2017,0500 - 0600,8,34,17,33,12,34,87,35,8,0,0,0,0,4,134,1,7
ORD,Terminal 5,4/20/2017,0600 - 0700,0,1,6,17,5,17,142,4,0,0,0,0,0,5,151,1,13
ORD,Terminal 5,4/20/2017,0800 - 0900,13,59,19,88,17,88,328,103,55,30,14,0,0,22,552,2,12
ORD,Terminal 5,4/20/2017,0900 - 1000,8,34,9,36,8,36,342,58,8,0,0,0,0,16,424,2,11
ORD,Terminal 5,4/20/2017,1000 - 1100,1,25,15,52,9,52,351,65,45,7,0,0,0,16,484,5,13
ORD,Terminal 5,4/20/2017,1100 - 1200,4,17,10,31,8,31,171,35,4,0,0,0,0,8,218,2,11
ORD,Terminal 5,4/20/2017,1200 - 1300,9,35,11,34,10,35,316,108,6,0,0,0,0,19,449,4,23
ORD,Terminal 5,4/20/2017,1300 - 1400,11,41,16,49,13,49,835,284,103,10,0,0,0,41,1273,8,25
ORD,Terminal 5,4/20/2017,1400 - 1500,10,53,18,58,13,58,1493,575,187,23,0,0,0,91,2369,13,29
ORD,Terminal 5,4/20/2017,1500 - 1600,10,34,18,49,14,49,397,259,52,4,0,0,0,76,788,5,22
ORD,Terminal 5,4/20/2017,1600 - 1700,8,54,15,54,12,54,940,395,42,8,0,0,0,57,1442,7,29
ORD,Terminal 5,4/20/2017,1700 - 1800,6,18,9,16,7,18,294,7,0,0,0,0,0,11,312,3,9
ORD,Terminal 5,4/20/2017,1800 - 1900,8,28,11,28,9,28,1175,304,0,0,0,0,0,64,1543,10,22
ORD,Terminal 5,4/20/2017,1900 - 2000,12,76,33,84,21,84,669,188,111,122,73,0,0,38,1201,7,21
ORD,Terminal 5,4/20/2017,2000 - 2100,6,27,11,27,8,27,239,57,0,0,0,0,0,10,306,2,13
ORD,Terminal 5,4/20/2017,2100 - 2200,8,22,10,21,8,22,229,28,0,0,0,0,0,6,263,2,9
ORD,Terminal 5,4/20/2017,2300 - 0000,6,20,8,20,7,20,186,22,0,0,0,0,0,9,217,2,11
ORD,Terminal 5,4/21/2017,0000 - 0100,16,38,17,38,16,38,175,135,27,0,0,0,0,20,357,3,8
ORD,Terminal 5,4/21/2017,0400 - 0500,16,35,19,37,18,37,54,49,19,0,0,0,0,7,129,1,8
ORD,Terminal 5,4/21/2017,0700 - 0800,12,105,41,106,35,106,191,98,90,75,96,30,0,16,596,2,15
ORD,Terminal 5,4/21/2017,0800 - 0900,3,20,9,27,7,27,279,63,0,0,0,0,0,10,352,2,9
ORD,Terminal 5,4/21/2017,0900 - 1000,11,38,20,46,16,46,185,118,45,3,0,0,0,14,365,3,8
ORD,Terminal 5,4/21/2017,1000 - 1100,2,21,16,34,8,34,385,113,20,0,0,0,0,20,538,4,14
ORD,Terminal 5,4/21/2017,1100 - 1200,11,38,22,40,16,40,286,219,83,0,0,0,0,22,610,5,20
ORD,Terminal 5,4/21/2017,1200 - 1300,10,42,20,44,17,44,120,21,53,0,0,0,0,7,201,2,19
ORD,Terminal 5,4/21/2017,1300 - 1400,6,38,17,44,11,44,1467,462,142,0,0,0,0,71,2142,10,31
ORD,Terminal 5,4/21/2017,1400 - 1500,7,34,14,37,10,37,941,287,29,0,0,0,0,47,1304,7,19
ORD,Terminal 5,4/21/2017,1500 - 1600,11,53,20,53,15,53,1045,341,208,37,0,0,0,69,1700,9,26
ORD,Terminal 5,4/21/2017,1600 - 1700,5,26,13,30,9,30,758,231,0,0,0,0,0,29,1018,5,18
ORD,Terminal 5,4/21/2017,1700 - 1800,11,41,8,32,11,41,652,146,43,0,0,0,0,30,871,6,13
ORD,Terminal 5,4/21/2017,1800 - 1900,19,71,24,82,21,82,928,478,444,113,49,0,0,87,2099,11,25
ORD,Terminal 5,4/21/2017,1900 - 2000,12,72,30,72,19,72,782,384,182,123,42,0,0,59,1572,9,21
ORD,Terminal 5,4/21/2017,2000 - 2100,8,33,21,36,13,36,394,161,43,0,0,0,0,15,613,3,15
ORD,Terminal 5,4/21/2017,2200 - 2300,10,28,15,29,12,29,92,48,0,0,0,0,0,7,147,1,7
ORD,Terminal 5,4/21/2017,2300 - 0000,13,36,20,49,17,49,79,77,22,2,0,0,0,10,190,2,6
ORD,Terminal 5,4/22/2017,0000 - 0100,11,28,15,28,12,28,170,101,0,0,0,0,0,13,284,2,8
ORD,Terminal 5,4/22/2017,0400 - 0500,7,24,14,29,10,29,102,42,0,0,0,0,0,3,147,1,7
ORD,Terminal 5,4/22/2017,0500 - 0600,8,26,17,31,10,31,161,62,3,0,0,0,0,5,231,2,8
ORD,Terminal 5,4/22/2017,0600 - 0700,8,63,21,63,18,63,255,151,93,22,6,0,0,19,546,2,13
ORD,Terminal 5,4/22/2017,0800 - 0900,5,24,12,41,10,41,353,80,21,0,0,0,0,13,467,2,12
ORD,Terminal 5,4/22/2017,0900 - 1000,6,26,17,41,13,41,266,111,32,0,0,0,0,16,425,2,12
ORD,Terminal 5,4/22/2017,1000 - 1100,6,32,13,35,9,35,562,166,17,0,0,0,0,19,764,6,12
ORD,Terminal 5,4/22/2017,1100 - 1200,9,31,9,31,9,31,158,33,2,0,0,0,0,7,200,2,11
ORD,Terminal 5,4/22/2017,1200 - 1300,15,42,16,45,16,45,508,414,94,0,0,0,0,34,1050,4,27
ORD,Terminal 5,4/22/2017,1300 - 1400,17,63,17,63,17,63,997,603,127,90,11,0,0,65,1893,9,31
ORD,Terminal 5,4/22/2017,1400 - 1500,8,59,19,65,13,65,1557,324,194,97,4,0,0,83,2259,10,33
ORD,Terminal 5,4/22/2017,1500 - 1600,13,45,18,54,14,54,1110,463,226,18,0,0,0,73,1890,10,29
ORD,Terminal 5,4/22/2017,1600 - 1700,14,46,13,44,14,46,981,565,68,1,0,0,0,59,1674,10,19
ORD,Terminal 5,4/22/2017,1700 - 1800,23,69,23,64,23,69,492,243,142,143,47,0,0,46,1113,8,13
ORD,Terminal 5,4/22/2017,1800 - 1900,13,67,17,66,14,67,1596,646,203,67,3,0,0,101,2616,14,21
ORD,Terminal 5,4/22/2017,1900 - 2000,10,38,14,38,11,38,1228,304,49,0,0,0,0,62,1643,10,20
ORD,Terminal 5,4/22/2017,2000 - 2100,9,22,10,24,9,24,573,89,0,0,0,0,0,22,684,5,12
ORD,Terminal 5,4/22/2017,2100 - 2200,5,19,9,21,7,21,178,22,0,0,0,0,0,7,207,1,7
ORD,Terminal 5,4/22/2017,2200 - 2300,7,20,10,21,7,21,270,33,0,0,0,0,0,16,319,2,7
ORD,Terminal 5,4/22/2017,2300 - 0000,14,42,21,41,16,42,125,83,27,0,0,0,0,9,244,2,6
ORD,Terminal 5,4/23/2017,0000 - 0100,11,41,26,42,18,42,75,44,33,0,0,0,0,3,155,1,8
ORD,Terminal 5,4/23/2017,0300 - 0400,21,40,25,43,23,43,26,57,26,0,0,0,0,4,113,1,5
ORD,Terminal 5,4/23/2017,0400 - 0500,12,36,16,37,13,37,250,175,15,0,0,0,0,18,458,3,9
ORD,Terminal 5,4/23/2017,0600 - 0700,12,41,17,41,16,41,193,113,56,0,0,0,0,15,377,2,12
ORD,Terminal 5,4/23/2017,0700 - 0800,13,47,21,48,18,48,142,113,55,6,0,0,0,14,330,1,13
ORD,Terminal 5,4/23/2017,0800 - 0900,4,19,8,29,8,29,386,80,0,0,0,0,0,16,482,2,11
ORD,Terminal 5,4/23/2017,0900 - 1000,6,24,11,26,9,26,445,119,0,0,0,0,0,24,588,3,11
ORD,Terminal 5,4/23/2017,1000 - 1100,11,26,12,29,11,29,424,218,0,0,0,0,0,30,672,6,10
ORD,Terminal 5,4/23/2017,1100 - 1200,5,21,5,21,5,21,328,19,0,0,0,0,0,3,350,2,16
ORD,Terminal 5,4/23/2017,1200 - 1300,11,52,15,55,13,55,655,261,45,30,0,0,0,38,1029,5,29
ORD,Terminal 5,4/23/2017,1300 - 1400,14,52,12,40,13,52,1417,404,221,27,0,0,0,85,2154,11,28
ORD,Terminal 5,4/23/2017,1400 - 1500,9,28,10,31,10,31,1422,266,3,0,0,0,0,60,1751,8,31
ORD,Terminal 5,4/23/2017,1500 - 1600,9,40,16,48,12,48,666,226,91,8,0,0,0,34,1025,6,33
ORD,Terminal 5,4/23/2017,1600 - 1700,15,41,23,43,17,43,849,474,346,0,0,0,0,64,1733,10,38
ORD,Terminal 5,4/23/2017,1700 - 1800,9,24,9,28,9,28,990,217,0,0,0,0,0,48,1255,7,28
ORD,Terminal 5,4/23/2017,1800 - 1900,16,53,23,57,18,57,935,617,319,89,0,0,0,86,2046,11,22
ORD,Terminal 5,4/23/2017,1900 - 2000,13,62,23,67,18,67,837,534,200,81,10,0,0,60,1722,8,21
ORD,Terminal 5,4/23/2017,2000 - 2100,14,62,32,70,20,70,413,274,102,36,34,0,0,36,895,4,21
ORD,Terminal 5,4/23/2017,2300 - 0000,11,25,11,25,11,25,110,39,0,0,0,0,0,6,155,1,7
ORD,Terminal 5,4/24/2017,0000 - 0100,12,37,11,37,12,37,264,106,27,0,0,0,0,12,409,3,8
ORD,Terminal 5,4/24/2017,0600 - 0700,0,8,3,9,2,9,139,0,0,0,0,0,0,4,143,1,11
ORD,Terminal 5,4/24/2017,0700 - 0800,13,49,28,56,23,56,144,61,75,47,0,0,0,14,341,1,16
ORD,Terminal 5,4/24/2017,0800 - 0900,8,27,11,31,10,31,306,103,1,0,0,0,0,16,426,2,11
ORD,Terminal 5,4/24/2017,0900 - 1000,9,39,21,52,18,52,242,125,65,25,0,0,0,21,478,2,15
ORD,Terminal 5,4/24/2017,1000 - 1100,7,40,21,42,16,42,151,54,74,0,0,0,0,13,292,3,13
ORD,Terminal 5,4/24/2017,1100 - 1200,5,33,7,33,6,33,655,109,4,0,0,0,0,27,795,6,18
ORD,Terminal 5,4/24/2017,1200 - 1300,7,25,11,29,9,29,375,94,0,0,0,0,0,18,487,3,23
ORD,Terminal 5,4/24/2017,1300 - 1400,16,46,15,46,15,46,1434,839,314,4,0,0,0,98,2689,12,33
ORD,Terminal 5,4/24/2017,1400 - 1500,8,40,10,40,9,40,1104,212,18,0,0,0,0,49,1383,6,30
ORD,Terminal 5,4/24/2017,1500 - 1600,13,79,18,78,15,79,934,486,137,20,9,0,0,64,1650,8,30
ORD,Terminal 5,4/24/2017,1600 - 1700,16,46,20,45,18,46,486,283,213,3,0,0,0,34,1019,5,27
ORD,Terminal 5,4/24/2017,1700 - 1800,25,52,12,45,24,52,263,164,312,8,0,0,0,28,775,5,10
ORD,Terminal 5,4/24/2017,1800 - 1900,14,51,17,51,15,51,725,366,100,10,0,0,0,57,1258,6,22
ORD,Terminal 5,4/24/2017,1900 - 2000,10,39,18,47,14,47,764,304,155,4,0,0,0,42,1269,6,21
ORD,Terminal 5,4/24/2017,2000 - 2100,8,29,18,32,13,32,216,111,3,0,0,0,0,12,342,2,18
ORD,Terminal 5,4/24/2017,2200 - 2300,11,45,15,43,13,45,220,66,56,0,0,0,0,12,354,2,7
ORD,Terminal 5,4/24/2017,2300 - 0000,7,17,8,18,8,18,78,6,0,0,0,0,0,5,89,1,8
ORD,Terminal 5,4/25/2017,0000 - 0100,9,23,10,23,10,23,254,66,0,0,0,0,0,17,337,2,8
ORD,Terminal 5,4/25/2017,0600 - 0700,8,48,20,66,17,66,243,95,59,26,8,0,0,20,451,2,11
ORD,Terminal 5,4/25/2017,0800 - 0900,7,18,9,19,8,19,200,25,0,0,0,0,0,8,233,1,11
ORD,Terminal 5,4/25/2017,0900 - 1000,9,24,8,24,9,24,399,57,0,0,0,0,0,23,479,2,13
ORD,Terminal 5,4/25/2017,1000 - 1100,11,34,16,34,14,34,217,133,24,0,0,0,0,18,392,4,15
ORD,Terminal 5,4/25/2017,1100 - 1200,5,28,8,27,7,28,390,45,0,0,0,0,0,11,446,3,14
ORD,Terminal 5,4/25/2017,1300 - 1400,11,44,12,48,12,48,1275,438,60,4,0,0,0,68,1845,10,30
ORD,Terminal 5,4/25/2017,1400 - 1500,9,61,17,61,13,61,1324,486,128,41,2,0,0,124,2105,11,25
ORD,Terminal 5,4/25/2017,1500 - 1600,9,30,16,34,13,34,422,228,23,0,0,0,0,22,695,4,23
ORD,Terminal 5,4/25/2017,1600 - 1700,11,55,23,60,17,60,488,198,105,51,0,0,0,29,871,4,22
ORD,Terminal 5,4/25/2017,1700 - 1800,16,57,33,57,22,57,356,260,202,80,0,0,0,76,974,5,17
ORD,Terminal 5,4/25/2017,1800 - 1900,8,32,11,33,9,33,645,142,5,0,0,0,0,27,819,5,19
ORD,Terminal 5,4/25/2017,1900 - 2000,8,27,14,30,11,30,533,194,0,0,0,0,0,29,756,4,20
ORD,Terminal 5,4/25/2017,2100 - 2200,9,23,10,23,9,23,360,82,0,0,0,0,0,14,456,2,8
ORD,Terminal 5,4/25/2017,2300 - 0000,13,37,17,39,14,39,234,134,33,0,0,0,0,17,418,3,9
ORD,Terminal 5,4/26/2017,0000 - 0100,12,34,14,34,13,34,192,91,20,0,0,0,0,8,311,2,7
ORD,Terminal 5,4/26/2017,0600 - 0700,2,12,3,12,3,12,118,0,0,0,0,0,0,2,120,1,14
ORD,Terminal 5,4/26/2017,0800 - 0900,21,70,27,78,26,78,87,154,34,17,27,0,0,9,328,1,18
ORD,Terminal 5,4/26/2017,0900 - 1000,9,26,12,28,11,28,357,137,0,0,0,0,0,15,509,3,17
ORD,Terminal 5,4/26/2017,1000 - 1100,10,39,22,53,17,53,356,223,111,13,0,0,0,28,731,5,16
ORD,Terminal 5,4/26/2017,1100 - 1200,4,22,9,26,6,26,325,70,0,0,0,0,0,14,409,4,13
ORD,Terminal 5,4/26/2017,1200 - 1300,2,11,14,28,12,28,43,35,0,0,0,0,0,3,81,1,13
ORD,Terminal 5,4/26/2017,1300 - 1400,8,48,20,48,15,48,1486,626,289,24,0,0,0,115,2540,13,29
ORD,Terminal 5,4/26/2017,1400 - 1500,11,40,18,44,14,44,363,166,85,0,0,0,0,26,640,4,19
ORD,Terminal 5,4/26/2017,1500 - 1600,11,69,25,70,18,70,1020,426,151,120,67,0,0,127,1911,10,25
ORD,Terminal 5,4/26/2017,1600 - 1700,9,46,24,64,17,64,487,165,93,64,2,0,0,41,852,4,26
ORD,Terminal 5,4/26/2017,1700 - 1800,19,45,15,44,17,45,313,335,90,0,0,0,0,30,768,5,25
ORD,Terminal 5,4/26/2017,1800 - 1900,8,28,12,29,10,29,1132,300,0,0,0,0,0,70,1502,9,23
ORD,Terminal 5,4/26/2017,1900 - 2000,10,35,18,39,14,39,604,340,73,0,0,0,0,39,1056,6,22
ORD,Terminal 5,4/26/2017,2000 - 2100,10,35,25,43,17,43,219,135,80,0,0,0,0,16,450,2,18
ORD,Terminal 5,4/26/2017,2200 - 2300,17,48,20,48,18,48,136,43,60,12,0,0,0,13,264,2,8
ORD,Terminal 5,4/26/2017,2300 - 0000,10,28,13,28,12,28,49,28,0,0,0,0,0,2,79,1,6
ORD,Terminal 5,4/27/2017,0100 - 0200,15,52,20,53,17,53,120,98,14,11,0,0,0,15,258,2,8
ORD,Terminal 5,4/27/2017,0500 - 0600,20,38,40,62,30,62,18,60,29,26,6,0,0,5,144,1,8
ORD,Terminal 5,4/27/2017,0700 - 0800,14,83,25,85,23,85,210,76,74,36,27,0,0,18,441,2,8
ORD,Terminal 5,4/27/2017,0800 - 0900,11,43,21,51,19,51,225,129,68,35,0,0,0,17,474,2,10
ORD,Terminal 5,4/27/2017,0900 - 1000,8,20,16,31,13,31,135,84,4,0,0,0,0,12,235,1,10
ORD,Terminal 5,4/27/2017,1000 - 1100,10,33,23,53,17,53,249,179,82,11,0,0,0,23,544,4,11
ORD,Terminal 5,4/27/2017,1100 - 1200,6,53,31,63,20,63,384,97,73,134,10,0,0,25,723,5,20
ORD,Terminal 5,4/27/2017,1200 - 1300,11,31,17,36,14,36,182,170,6,0,0,0,0,16,374,3,14
ORD,Terminal 5,4/27/2017,1300 - 1400,9,37,19,57,14,57,646,358,68,5,0,0,0,54,1131,6,25
ORD,Terminal 5,4/27/2017,1400 - 1500,9,77,27,79,17,79,1133,389,214,119,46,0,0,80,1981,11,22
ORD,Terminal 5,4/27/2017,1500 - 1600,11,62,35,78,22,78,494,235,160,150,25,0,0,107,1171,6,21
ORD,Terminal 5,4/27/2017,1600 - 1700,12,61,31,64,23,64,367,287,233,105,10,0,0,44,1046,5,23
ORD,Terminal 5,4/27/2017,1700 - 1800,7,21,10,22,7,22,384,51,0,0,0,0,0,18,453,3,11
ORD,Terminal 5,4/27/2017,1800 - 1900,10,44,16,60,12,60,1309,401,114,26,0,0,0,89,1939,11,19
ORD,Terminal 5,4/27/2017,1900 - 2000,11,46,33,56,24,56,162,81,78,76,0,0,0,12,409,2,22
ORD,Terminal 5,4/27/2017,2000 - 2100,7,26,12,29,9,29,539,102,0,0,0,0,0,26,667,3,22
ORD,Terminal 5,4/27/2017,2300 - 0000,12,32,15,32,13,32,169,94,11,0,0,0,0,15,289,2,10
ORD,Terminal 5,4/28/2017,0000 - 0100,21,48,28,57,25,57,108,72,103,45,0,0,0,13,341,3,10
ORD,Terminal 5,4/28/2017,0500 - 0600,9,42,24,43,19,43,69,29,39,0,0,0,0,7,144,1,5
ORD,Terminal 5,4/28/2017,0700 - 0800,11,79,35,96,29,96,243,122,47,60,101,13,0,27,613,2,10
ORD,Terminal 5,4/28/2017,0800 - 0900,3,21,23,58,19,58,119,37,42,27,0,0,0,6,231,1,9
ORD,Terminal 5,4/28/2017,0900 - 1000,14,67,41,85,31,85,217,163,109,78,98,0,0,32,697,4,11
ORD,Terminal 5,4/28/2017,1000 - 1100,16,48,50,94,28,94,181,251,41,25,86,6,0,31,621,4,13
ORD,Terminal 5,4/28/2017,1100 - 1200,13,50,27,53,20,53,266,227,137,27,0,0,0,35,692,4,24
ORD,Terminal 5,4/28/2017,1200 - 1300,6,28,18,39,11,39,536,176,37,0,0,0,0,35,784,3,30
ORD,Terminal 5,4/28/2017,1300 - 1400,10,48,17,51,13,51,1273,499,155,9,0,0,0,78,2014,9,24
ORD,Terminal 5,4/28/2017,1400 - 1500,9,49,24,55,16,55,1103,500,328,38,0,0,0,72,2041,9,24
ORD,Terminal 5,4/28/2017,1500 - 1600,12,44,25,53,17,53,664,513,213,14,0,0,0,56,1460,7,31
ORD,Terminal 5,4/28/2017,1600 - 1700,8,41,20,41,12,41,553,224,52,0,0,0,0,28,857,4,27
ORD,Terminal 5,4/28/2017,1700 - 1800,6,23,9,24,7,24,728,80,0,0,0,0,0,32,840,5,27
ORD,Terminal 5,4/28/2017,1800 - 1900,12,42,11,39,12,42,1060,316,62,0,0,0,0,59,1497,8,29
ORD,Terminal 5,4/28/2017,1900 - 2000,13,52,16,52,14,52,907,580,128,13,0,0,0,75,1703,7,28
ORD,Terminal 5,4/28/2017,2000 - 2100,5,19,9,21,7,21,201,31,0,0,0,0,0,7,239,1,12
ORD,Terminal 5,4/28/2017,2100 - 2200,1,10,6,14,4,14,131,0,0,0,0,0,0,2,133,1,11
ORD,Terminal 5,4/28/2017,2300 - 0000,10,23,13,27,12,27,102,55,0,0,0,0,0,9,166,1,11
ORD,Terminal 5,4/29/2017,0000 - 0100,9,27,13,30,11,30,325,157,0,0,0,0,0,24,506,4,12
ORD,Terminal 5,4/29/2017,0500 - 0600,7,22,14,29,11,29,102,47,0,0,0,0,0,4,153,1,8
ORD,Terminal 5,4/29/2017,0600 - 0700,5,16,18,34,15,34,132,91,28,0,0,0,0,13,264,1,11
ORD,Terminal 5,4/29/2017,0800 - 0900,14,57,30,82,27,82,244,260,121,95,62,0,0,34,816,3,12
ORD,Terminal 5,4/29/2017,0900 - 1000,7,28,19,32,14,32,263,199,14,0,0,0,0,21,497,3,11
ORD,Terminal 5,4/29/2017,1000 - 1100,13,37,23,44,17,44,252,241,81,0,0,0,0,29,603,4,11
ORD,Terminal 5,4/29/2017,1100 - 1200,8,39,18,43,13,43,534,183,100,0,0,0,0,21,838,5,22
ORD,Terminal 5,4/29/2017,1200 - 1300,5,20,9,20,8,20,237,27,0,0,0,0,0,7,271,1,30
ORD,Terminal 5,4/29/2017,1300 - 1400,12,74,15,47,13,74,1311,540,166,5,4,0,0,92,2118,10,30
ORD,Terminal 5,4/29/2017,1400 - 1500,7,41,20,66,13,66,1225,415,107,27,24,0,0,67,1865,8,29
ORD,Terminal 5,4/29/2017,1500 - 1600,7,57,23,68,14,68,1177,353,167,33,25,0,0,64,1819,8,29
ORD,Terminal 5,4/29/2017,1600 - 1700,13,48,23,49,17,49,863,651,306,8,0,0,0,74,1902,9,30
ORD,Terminal 5,4/29/2017,1700 - 1800,16,48,24,50,17,50,369,204,98,7,0,0,0,33,711,6,15
ORD,Terminal 5,4/29/2017,1800 - 1900,16,70,10,62,14,70,1800,260,141,141,96,0,0,97,2535,14,26
ORD,Terminal 5,4/29/2017,1900 - 2000,14,35,10,35,13,35,906,326,94,0,0,0,0,53,1379,8,20
ORD,Terminal 5,4/29/2017,2000 - 2100,10,37,16,37,13,37,631,319,28,0,0,0,0,43,1021,4,22
ORD,Terminal 5,4/29/2017,2200 - 2300,5,14,12,18,6,18,210,3,0,0,0,0,0,9,222,2,7
ORD,Terminal 5,4/29/2017,2300 - 0000,24,63,31,63,27,63,97,103,64,60,9,0,0,7,340,2,11
ORD,Terminal 5,4/30/2017,0000 - 0100,11,32,18,32,13,32,142,92,11,0,0,0,0,6,251,2,10
ORD,Terminal 5,4/30/2017,0100 - 0200,13,28,16,28,14,28,95,70,0,0,0,0,0,5,170,1,8
ORD,Terminal 5,4/30/2017,0400 - 0500,9,31,15,33,13,33,92,48,7,0,0,0,0,5,152,1,5
ORD,Terminal 5,4/30/2017,0500 - 0600,11,26,17,28,13,28,89,53,0,0,0,0,0,5,147,1,8
ORD,Terminal 5,4/30/2017,0600 - 0700,3,24,11,26,10,26,174,86,0,0,0,0,0,6,266,1,13
ORD,Terminal 5,4/30/2017,0700 - 0800,13,59,25,81,22,81,142,84,69,18,17,0,0,11,341,1,11
ORD,Terminal 5,4/30/2017,0800 - 0900,10,42,21,47,19,47,247,86,117,9,0,0,0,14,473,2,10
ORD,Terminal 5,4/30/2017,0900 - 1000,10,47,26,65,20,65,249,82,64,53,7,0,0,16,471,2,11
ORD,Terminal 5,4/30/2017,1000 - 1100,9,28,20,49,13,49,348,179,36,16,0,0,0,26,605,5,11
ORD,Terminal 5,4/30/2017,1100 - 1200,4,13,8,23,6,23,429,24,0,0,0,0,0,16,469,3,14
ORD,Terminal 5,4/30/2017,1200 - 1300,9,23,15,39,12,39,441,148,32,0,0,0,0,22,643,3,28
ORD,Terminal 5,4/30/2017,1300 - 1400,14,42,18,41,16,42,994,705,201,0,0,0,0,76,1976,10,27
ORD,Terminal 5,4/30/2017,1400 - 1500,11,51,14,53,12,53,1044,439,71,8,0,0,0,60,1622,8,25
ORD,Terminal 5,4/30/2017,1500 - 1600,10,59,20,61,15,61,1222,444,222,44,4,0,0,83,2019,9,28
ORD,Terminal 5,4/30/2017,1600 - 1700,19,53,18,51,18,53,459,355,127,64,0,0,0,41,1046,5,30
ORD,Terminal 5,4/30/2017,1700 - 1800,16,37,23,40,17,40,272,287,75,0,0,0,0,27,661,4,22
ORD,Terminal 5,4/30/2017,1800 - 1900,11,37,10,37,11,37,1332,298,64,0,0,0,0,59,1753,9,27
ORD,Terminal 5,4/30/2017,1900 - 2000,15,45,14,41,14,45,1165,596,194,0,0,0,0,85,2040,10,26
ORD,Terminal 5,4/30/2017,2000 - 2100,23,66,37,85,30,85,168,34,188,52,41,0,0,20,503,2,9
ORD,Terminal 5,05-01-2017,0000 - 0100,14,39,18,39,16,39,217,139,54,0,0,0,0,14,424,3,11
ORD,Terminal 5,05-01-2017,0200 - 0300,5,21,8,20,6,21,120,17,0,0,0,0,0,3,140,1,5
ORD,Terminal 5,05-01-2017,0600 - 0700,4,25,11,25,10,25,116,51,0,0,0,0,0,6,173,1,12
ORD,Terminal 5,05-01-2017,0700 - 0800,13,58,25,59,22,59,125,97,90,17,0,0,0,11,340,1,12
ORD,Terminal 5,05-01-2017,0800 - 0900,6,22,11,25,10,25,327,83,0,0,0,0,0,12,422,2,11
ORD,Terminal 5,05-01-2017,0900 - 1000,12,93,54,120,40,120,197,67,52,24,121,53,0,17,531,3,13
ORD,Terminal 5,05-01-2017,1000 - 1100,5,32,61,142,34,142,229,42,21,16,8,49,34,15,414,4,13
ORD,Terminal 5,05-01-2017,1100 - 1200,12,85,53,105,33,105,327,72,46,38,142,44,0,24,693,5,20
ORD,Terminal 5,05-01-2017,1200 - 1300,17,55,28,57,23,57,152,97,59,59,0,0,0,18,385,2,18
